channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15
400,17220,13763,20004,18996,20901,14611,21685,22165,23637,9554,42842,20164,31511,40361,416
416,17172,13747,19764,20132,16404,14675,20020,21205,24341,6897,42474,16980,27766,42282,352
416,17124,13715,20132,20148,15507,14755,20388,20436,25350,8210,38649,17796,29639,45499,336
384,17188,13747,19924,20501,14899,14883,20404,20501,27046,8290,43466,17668,40601,55261,304
400,16580,13843,16275,20308,14755,14851,20501,20645,27878,9154,39561,17220,55885,55053,496
400,14611,13763,20436,20228,15491,15123,21909,21381,28630,9554,40633,14179,55885,55197,512
384,14915,13619,19220,20132,15683,15139,22549,21525,28422,10162,40025,22133,55789,55021,320
416,14579,13747,18980,20132,15283,15171,22949,22197,27750,10082,39689,23445,56125,55213,320
352,14675,13715,18996,20148,16948,15171,23141,22069,25894,10850,31671,29143,56301,55181,416
384,14067,13795,21141,19444,20116,15091,23365,22229,23557,10482,30999,56045,56157,55181,336
384,13699,13779,21221,19620,19940,15155,23717,23653,23301,11362,30247,55821,56125,55181,464
400,13843,13667,22485,19364,22085,15139,24662,23893,22405,11202,29799,56285,55837,55357,320
400,13875,13603,22501,19844,22885,15251,24854,24293,496,11346,36184,45995,55917,55245,336
416,14003,13763,21733,19620,21989,15075,24902,24069,448,11202,33912,55837,56077,55069,336
400,14179,13667,22165,19684,22469,15075,25078,24245,464,11554,33080,44554,55869,54829,320
416,13923,13923,23173,19812,22629,15123,25014,24357,576,11410,33368,45915,55965,55453,352
464,14387,13635,23269,19716,22325,15107,24806,24341,528,11410,35112,38665,56093,55133,480
384,14067,13763,22981,19796,22421,15171,25110,24582,592,11362,28502,41914,55981,55213,320
400,14035,13779,23189,19844,22597,15139,25014,24838,448,11442,25270,33096,55965,45515,320
416,14115,13203,19604,19540,21397,15107,24565,23349,22341,8914,20997,20068,34600,34184,416
416,11602,12979,18644,19236,20613,15139,22533,22101,21909,9106,18276,17316,25382,29255,400
384,15251,12851,15315,18644,19860,14995,21141,21925,20452,9394,16291,42730,22437,27286,400
416,15219,12771,17140,18116,18724,15155,19924,22117,528,9106,20436,56093,24854,33608,352
400,15139,12931,17332,18868,24101,14931,19972,22485,480,9554,21509,56173,27558,41802,352
416,15091,12915,16404,18916,23813,14787,20100,22677,18212,9986,20452,56269,31799,42122,480
416,14931,12995,16243,19012,24085,14867,20180,22405,18180,10162,23429,56205,28214,53549,352
352,14819,12835,15859,19092,23781,14899,20388,22597,17972,10242,22597,56157,28598,43098,368
400,14963,12995,17508,19076,23701,14899,20517,22421,17940,10082,22757,55917,34440,49740,400
368,14963,12931,17476,19268,23781,15107,20645,22805,17972,10082,25606,56237,34680,51020,352
416,14531,12947,17924,19060,23621,15155,336,23237,17876,10130,22229,55853,33512,44554,336
352,14691,13027,19812,19108,23765,15395,20613,23173,18020,10130,25862,43162,56093,49852,304
288,14483,13251,14883,18436,23909,15443,22453,23781,18212,10402,22581,36905,51564,43786,336
416,15107,13475,20372,18628,23941,15299,22533,23845,18020,10386,21589,25622,39193,38601,320
416,15011,13555,20308,18836,23045,15491,22997,24037,528,10178,21781,23141,36969,42970,336
384,14803,13523,19748,18628,23621,15267,22917,24037,464,10290,21157,23525,35640,42762,352
400,14979,13715,18292,18644,22933,14931,22677,24069,608,10178,24870,23525,36120,39001,384
384,15059,13747,19588,18740,23781,14771,22981,23733,512,10258,25062,21237,29255,40313,416
304,15075,13779,19908,18916,23781,15011,22917,23717,13731,10274,24646,24549,30119,40265,384
400,14979,13843,21029,18756,23765,14883,23109,23829,18564,10322,21125,30519,37385,45771,336
304,14979,13875,21653,19012,23733,14851,22933,23781,13155,10514,19476,23013,30119,39273,336
336,15123,13907,21669,18948,23813,14931,22997,24117,528,10274,23173,24405,40953,49452,320
448,15267,13971,21173,18980,23813,14883,22789,23813,480,10322,24565,23749,42682,54861,400
416,14995,13859,21221,18964,23845,15011,22917,23973,464,10338,25446,24485,37657,53196,336
400,14995,13827,18468,19060,23861,14931,23109,24021,448,10322,29495,22917,51388,55149,320
416,14755,13747,19860,19076,23733,14931,23077,23909,592,10306,38345,21349,47131,53341,336
400,14611,13731,16916,19444,23701,14883,23029,23829,512,10514,29127,16532,36616,43066,288
400,14339,13779,18948,19236,23877,14787,22773,23301,608,9666,20869,13091,23573,33608,448
352,13667,13251,12739,18340,20308,14531,19828,21621,544,9010,16115,11810,16227,25766,272
400,14275,12851,9842,18516,16516,13955,16836,19348,464,9522,18388,15043,15059,23829,320
384,13763,12675,16532,17540,17188,13539,15379,16548,23637,9170,22421,13075,13859,23493,304
400,12627,12723,16468,18580,16436,12899,14915,15635,544,9522,20757,13555,14611,23749,320
352,12034,12707,16468,18388,16420,13187,14563,15587,464,9490,23637,17604,16211,37561,336
416,12435,12851,19620,19300,15107,12931,15107,15027,480,9442,24005,18660,21125,40905,320
400,11266,13187,19652,20276,15331,12819,16964,14627,496,9858,25574,16291,22453,50060,416
416,11298,13219,22261,20501,15459,12803,17204,14723,24117,9826,22597,14227,22693,40937,480
384,560,13139,20549,20276,16003,12675,17796,14643,23365,9682,24886,14787,22085,39721,384
400,432,13203,20741,20452,16339,12739,17924,14883,23557,9698,21909,12355,21285,37081,320
400,10722,13267,20645,20436,15843,12739,18308,14691,480,9682,21285,12579,23397,43658,416
384,10514,13379,20901,20324,14915,12771,18404,14707,592,9682,21765,14003,23733,39865,352
400,10706,13251,20661,20485,16452,12723,18468,14723,416,9858,22341,14819,22309,42746,304
400,10434,13235,20693,20452,15427,12739,18452,14723,544,9746,19732,14915,23045,39097,352
400,10386,13283,20645,20420,16820,12819,18356,14739,448,9778,20885,14467,23077,34440,480
368,10274,13379,20757,20260,16388,12723,18372,14675,448,9794,19092,12098,22613,33320,448
400,10370,13283,20709,20388,16708,12819,18532,14691,432,9618,19156,12963,22485,34168,320
400,11106,13411,20805,20388,16948,12771,18452,14819,464,9666,20885,13235,21733,33224,400
400,10994,13251,21173,20356,16916,12899,18580,14627,448,9554,19428,10258,19076,35640,288
400,10466,13331,21205,20276,17044,12931,18532,14739,608,9698,19380,11922,20725,34920,352
368,10594,13459,21029,20388,16868,12867,18516,14691,560,9778,20629,11618,23013,34616,496
400,10450,13235,21397,20485,17140,12739,18564,14851,608,9714,17956,10050,18788,31175,352
416,7905,13203,20661,20308,17220,12851,18292,14739,512,9714,14755,8370,14595,25702,480
400,10450,13091,13907,20148,17028,12851,17236,14915,23525,9602,14291,12643,13459,24565,304
416,11602,12723,15347,18660,16852,12755,15283,14467,25510,9618,13459,13795,20885,26774,384
400,11538,12339,17332,17908,15011,12835,15667,16708,33384,9618,15139,13731,29543,36392,256
400,11730,11586,14531,18660,14211,13107,17156,17476,35336,9570,16548,16628,30343,32984,304
400,11874,12018,7905,18612,14467,13107,17796,18148,35624,10098,17620,15731,30135,31399,512
464,11554,11970,15443,18436,14083,13379,18436,17892,36136,10274,19748,15923,46043,39881,384
400,10898,12226,15923,18532,13459,13747,19620,18228,35160,9986,24453,18068,56029,43994,352
416,11090,12098,13443,18596,13315,14083,20773,19300,34904,9922,19476,16195,45083,39241,384
416,12258,12002,16083,17988,13731,14019,21205,18884,34520,10242,20901,15251,48075,38713,352
400,12883,12803,15939,18068,14723,14211,21813,18820,34712,10642,20997,13843,37033,38473,496
432,13187,12851,17668,17716,13795,14259,22229,18980,34472,10978,21861,16916,44858,38585,512
